"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Wang S.; Jiang Y.; Xu S.; Liu Y.; Yin M.; He G.","Wang, Shiyu (57852780000); Jiang, Yuyao (60225877500); Xu, Shuaijianni (57201008939); Liu, Yiwen (58393492600); Yin, Ming (58628774000); He, Guofeng (60226001700)","57852780000; 60225877500; 57201008939; 58393492600; 58628774000; 60226001700","Fine-tuning a vulnerability-specific large language model for a hybrid software vulnerability detection method","2026","Engineering Applications of Artificial Intelligence","165","","113410","","","0","10.1016/j.engappai.2025.113410","https://www.scopus.com/pages/publications/105023961462?origin=resultslist","Research Institute of China Telecom, Shanghai, 200120, China; College of Information Science and Technology, Donghua University, Shanghai, 201620, China","Wang S., Research Institute of China Telecom, Shanghai, 200120, China; Jiang Y., Research Institute of China Telecom, Shanghai, 200120, China; Xu S., Research Institute of China Telecom, Shanghai, 200120, China; Liu Y., College of Information Science and Technology, Donghua University, Shanghai, 201620, China; Yin M., Research Institute of China Telecom, Shanghai, 200120, China; He G., Research Institute of China Telecom, Shanghai, 200120, China","Detecting vulnerabilities in large-scale, multi-file software systems remains a critical challenge, as traditional techniques and current large language models (LLMs) struggle with long code dependencies and complex control flows. This challenge is further compounded for Java, which dominates enterprise software yet remains relatively underexplored in vulnerability detection research. In this study, we first fine-tune a vulnerability-specific LLM called VulDetLLM and then propose a hybrid vulnerability detection method using VulDetLLM and program-assisted language (PAL) model for large-scale source code (HyVD-VP). HyVD-VP performs static detection using semantically meaningful slices and external knowledge, verifies predictions through lightweight dynamic checks during runtime, and integrates static and dynamic signals via an LLM-based decision module to achieve accurate and explainable detection. We evaluate HyVD-VP primarily on Java, which is widely used in mission-critical enterprise domains such as banking, telecommunications, and large-scale web services. The method consistently outperforms traditional analyzers (Fortify, SpotBugs) and recent research baselines, achieving 96.3 % accuracy, 95.7 % F1-score while reducing false negatives. Importantly, it also identified 16 previously unknown vulnerabilities in six real-world enterprise projects, underscoring its industrial relevance. Based on our current evaluation in Java, the detection pipeline shows moderate runtime overhead mainly from dynamic validation, as indicated by runtime profiling. A feasibility study further suggests the potential adaptability of HyVD-VP to multiple programming languages and constrained hardware scenarios simultaneously, indicating both practical applicability and extensibility. These results establish HyVD-VP as a promising step toward scalable, industry-ready solutions for reliable vulnerability detection in large-scale software systems. Copyright © 2025. Published by Elsevier Ltd.","Knowledge-based retrieval-augmented generation; Large language models; Large-language-model-as-a-judge; Program-assisted language model; Static analysis; Vulnerability detection","","","","","","09521976","","EAAIE","English","Eng Appl Artif Intell","Article","Final","","Scopus","2-s2.0-105023961462"
"Wu Y.; Lu Y.; Zhou Y.; Ding Y.; Liu J.; Ruan T.","Wu, Yinan (58741068500); Lu, Yuming (59697057300); Zhou, Yan (59696414100); Ding, Yifan (59697488600); Liu, Jingping (57208656857); Ruan, Tong (35240657900)","58741068500; 59697057300; 59696414100; 59697488600; 57208656857; 35240657900","MKGF: A multi-modal knowledge graph based RAG framework to enhance LVLMs for Medical visual question answering","2025","Neurocomputing","635","","129999","","","11","10.1016/j.neucom.2025.129999","https://www.scopus.com/pages/publications/105000389724?origin=resultslist","School of Information Science and Engineering, East China University of Science and Technology, Shanghai, 200237, China; Department of Critical Care Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China","Wu Y., School of Information Science and Engineering, East China University of Science and Technology, Shanghai, 200237, China; Lu Y., School of Information Science and Engineering, East China University of Science and Technology, Shanghai, 200237, China; Zhou Y., School of Information Science and Engineering, East China University of Science and Technology, Shanghai, 200237, China; Ding Y., Department of Critical Care Medicine, Zhongshan Hospital, Fudan University, Shanghai, 200032, China; Liu J., School of Information Science and Engineering, East China University of Science and Technology, Shanghai, 200237, China; Ruan T., School of Information Science and Engineering, East China University of Science and Technology, Shanghai, 200237, China","Medical visual question answering (MedVQA) is a challenging task that requires models to understand medical images and return accurate responses for the given questions. Most recent methods focus on transferring general-domain large vision–language models (LVLMs) to the medical domain by constructing medical instruction datasets and in-context learning. However, the performance of these methods are limited due to the hallucination issue of LVLMs. In addition, fine-tuning the abundant parameters of LVLMs on medical instruction datasets is high time and economic cost. Hence, we propose a MKGF framework that leverages a multi-modal medical knowledge graph (MMKG) to relieve the hallucination issue without fine-tuning the abundant parameters of LVLMs. Firstly, we employ a pre-trained text retriever to build question–knowledge relations on training set. Secondly, we train a multi-modal retriever with these relations. Finally, we use it to retrieve question-relevant knowledge and enhance the performance of LVLMs on the test set. To evaluate the effectiveness of MKGF, we conduct extensive experiments on two public datasets Slake and VQA-RAD. Our method improves the pre-trained SOTA LVLMs by 10.15% and 9.32%, respectively. The source codes are available at https://github.com/ehnal/MKGF. © 2025 Elsevier B.V.","Knowledge graph; Large language model; Multi-modal","","","","","","09252312","","NRCGE","English","Neurocomputing","Article","Final","","Scopus","2-s2.0-105000389724"
"Wu F.; Dwivedi V.P.; Leskovec J.","Wu, Fang (57222987117); Dwivedi, Vijay Prakash (57203888840); Leskovec, Jure (12241436100)","57222987117; 57203888840; 12241436100","Large Language Models are Good Relational Learners","2025","Proceedings of the Annual Meeting of the Association for Computational Linguistics","1","","","7835","7854","0","10.18653/v1/2025.acl-long.386","https://www.scopus.com/pages/publications/105021059948?origin=resultslist","Stanford University, United States","Wu F., Stanford University, United States; Dwivedi V.P., Stanford University, United States; Leskovec J., Stanford University, United States","Large language models (LLMs) have demonstrated remarkable capabilities across various domains, yet their application to relational deep learning (RDL) remains underexplored. Existing approaches adapt LLMs by traversing relational links between entities in a database and converting the structured data into flat text documents, but this text-based serialization disregards critical relational structures, introduces redundancy, and often exceeds standard LLM context lengths. We introduce Rel-LLM, a novel architecture that employs a graph neural network (GNN) based encoder to create structured relational prompts for LLMs within a retrieval-augmented generation (RAG) framework. Unlike traditional text-based serialization approaches, our method preserves the inherent relational structure of databases while enabling LLMs to effectively process and reason over complex entity relationships. Specifically, the GNN encoder extracts a local subgraph around an entity to build feature representations that contain relevant entity relationships and temporal dependencies. These representations are transformed into structured prompts using a denormalization process, effectively allowing the LLM to reason over relational structures. Through extensive experiments, we demonstrate that Rel-LLM outperforms existing methods on key RDL tasks, offering a scalable and efficient approach to integrating LLMs with structured data sources. Code is available at https://github.com/smiles724/Rel-LLM. © 2025 Association for Computational Linguistics.","","Alibaba Cloud; Ant Group; Bloomberg Engineering; Citadel Securities","63rd Annual Meeting of the Association for Computational Linguistics, ACL 2025","27 July 2025 through 1 August 2025","Vienna","213612","0736587X","979-889176251-0","","English","Proc. Annu. Meet. Assoc. Comput Linguist.","Conference paper","Final","","Scopus","2-s2.0-105021059948"
"Sun Z.; Zang X.; Zheng K.; Xu J.; Zhang X.; Yu W.; Song Y.; Li H.","Sun, Zhongxiang (57817991400); Zang, Xiaoxue (57219684913); Zheng, Kai (58344343900); Xu, Jun (57148828000); Zhang, Xiao (57219790917); Yu, Weijie (57694562400); Song, Yang (56431430300); Li, Han (57206473363)","57817991400; 57219684913; 58344343900; 57148828000; 57219790917; 57694562400; 56431430300; 57206473363","REDEEP: DETECTING HALLUCINATION IN RETRIEVAL-AUGMENTED GENERATION VIA MECHANISTIC INTERPRETABILITY","2025","13th International Conference on Learning Representations, ICLR 2025","","","","102578","102607","8","","https://www.scopus.com/pages/publications/105010266950?origin=resultslist","Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China; Kuaishou Technology Co., Ltd., Beijing, China; School of Information Technology and Management, University of International Business and Economics, China","Sun Z., Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China; Zang X., Kuaishou Technology Co., Ltd., Beijing, China; Zheng K., Kuaishou Technology Co., Ltd., Beijing, China; Xu J., Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China; Zhang X., Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China; Yu W., School of Information Technology and Management, University of International Business and Economics, China; Song Y., Kuaishou Technology Co., Ltd., Beijing, China; Li H., Kuaishou Technology Co., Ltd., Beijing, China","Retrieval-Augmented Generation (RAG) models are designed to incorporate external knowledge, reducing hallucinations caused by insufficient parametric (internal) knowledge. However, even with accurate and relevant retrieved content, RAG models can still produce hallucinations by generating outputs that conflict with the retrieved information. Detecting such hallucinations requires disentangling how Large Language Models (LLMs) utilize external and parametric knowledge. Current detection methods often focus on one of these mechanisms or without decoupling their intertwined effects, making accurate detection difficult. In this paper, we investigate the internal mechanisms behind hallucinations in RAG scenarios. We discover hallucinations occur when the Knowledge Feedforward Neural Networks in LLMs overemphasize parametric knowledge in the residual stream, while Copying Heads fail to effectively retain or integrate external knowledge from retrieved content. Based on these findings, we propose ReDeEP, a novel method that detects hallucinations by decoupling LLM's utilization of external context and parametric knowledge. Our experiments show that ReDeEP significantly improves RAG hallucination detection accuracy. Additionally, we introduce AARF, which mitigates hallucinations by modulating the contributions of Knowledge FFNs and Copying Heads. The source code and dataset are available at: https://github.com/Jeryi-Sun/ReDEeP-ICLR. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.","","","13th International Conference on Learning Representations, ICLR 2025","24 April 2025 through 28 April 2025","Singapore","209472","","979-833132085-0","","English","Int. Conf. Learn. Represent., ICLR","Conference paper","Final","","Scopus","2-s2.0-105010266950"
"Difallah D.","Difallah, Djellel (55001800900)","55001800900","WikiRAG: Revisiting Wikidata KGC Datasets with Community Updates and Retrieval-Augmented Generation","2025","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","2","","","5391","5401","0","10.1145/3711896.3737444","https://www.scopus.com/pages/publications/105014430422?origin=resultslist","New York University Abu Dhabi, Abu Dhabi, United Arab Emirates","Difallah D., New York University Abu Dhabi, Abu Dhabi, United Arab Emirates","Link prediction is an important task for knowledge graph completion and curation, and it has received significant attention from the research community. However, researchers often train and evaluate new models on small or outdated datasets that do not reflect the current state of knowledge, thereby disregarding new information and the rich textual content often linked to knowledge graphs. As a result, many opportunities to leverage these dimensions are missed. We introduce WikiRAG, a framework for knowledge completion and evaluation derived from Wikidata and Wikipedia, which enables research integrating retrieval techniques and large language models. Our framework combines the following contributions: (i) We revisit the Wikidata5M dataset by updating it to reflect the current state of Wikidata and providing automated tools for its periodic maintenance. (ii) We enrich the dataset with long-form textual content sourced from Wikipedia, enabling research that goes beyond traditional graph structures and shallow text methods toward dense retrieval techniques. (iii) We propose a simple yet effective baseline that leverages retrieval-augmented generation, demonstrating the utility of the dataset and integrating language model capabilities for link prediction. The revised dataset, coined Wikidata5M-RE, shows that the original graph grew by roughly 50% in the number of edges, while 10% of the edges have been removed. A comparative analysis of classic methods demonstrates that these changes can impact downstream task evaluation. Finally, our evaluation of WikiRAG's KGC method shows an improvement of up to 9% in link prediction accuracy over state-of-the-art baselines, setting the stage for a new avenue in knowledge completion that uses deep information extraction. The source code, data, and other artifacts have been made available on the project website: https://github.com/colab-nyuad/WikiRAG. © 2025 Copyright held by the owner/author(s).","benchmarking; knowledge graph completion; large language models; retrieval augmented generation; wikidata","ACM SIGKDD; ACM SIGMOD","31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2025","3 August 2025 through 7 August 2025","Toronto","211085","2154817X","979-840071454-2","","English","Proc. ACM SIGKDD Int. Conf. Knowl. Discov. Data Min.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014430422"
"Satya R.; Raghu Kisore N.","Satya, Rama (59462254400); Raghu Kisore, N. (24780818100)","59462254400; 24780818100","Code Search with RAG: A Systematic Comparison of Retrieval Performance","2025","Proceedings of the 2025 International Conference on Emerging Techniques in Computational Intelligence, ICETCI 2025","","","","","","0","10.1109/ICETCI67340.2025.11257897","https://www.scopus.com/pages/publications/105030211325?origin=resultslist","Mahindra University, Department of Computer Science and Engineering, Hyderabad, India","Satya R., Mahindra University, Department of Computer Science and Engineering, Hyderabad, India; Raghu Kisore N., Mahindra University, Department of Computer Science and Engineering, Hyderabad, India","Buffer overflow attacks remain a critical threat to software security, with existing defenses like ASLR and stack canaries proving insufficient against sophisticated exploits. Nvariant systems, which execute diverse program variants to thwart coordinated attacks, offer a promising solution. However, manually generating such variants is costly and unscalable. To address this, we propose an AI-driven pipeline that automates the creation of N-secure code variants by leveraging programming expertise embedded in existing code repositories. As a foundational step, this work benchmarks the ability of Retrieval-Augmented Generation (RAG) models to identify semantically similar code snippets from a repository that match the coding constructs of a given human-written code. We evaluate multiple RAG architectures on their retrieval accuracy, diversity of returned snippets, and ability to surface distinct coding expertise (e.g., security-aware implementations). Our analysis reveals how RAG models can systematically curate programming variants that preserve functionality while differing in structure, libraries, or security practices. The retrieved snippets will later train a modelfree reinforcement learning (RL) agent to generate N diverse variants, introducing security by diversity against buffer overflow attacks. By rigorously assessing RAG models now, we ensure the subsequent RL phase has high-quality, relevant exemplars that are critical for generating robust variants. We evaluate two different RAG models: Code specific RAG model and a Generalized RAG model. L2 distance and cosine similarity metrics are used to measure the ability of RAG model identify code segments from a given human code repository that capture diverse coding human expertise. We believe our work bridges AI-powered code retrieval and generative security, offering a scalable path to N-variant systems. Our proposed scalable path to N-variant systems involves feeding the output of RAG to a model free Reinforcement Learning algorithm.  © 2025 IEEE.","Buffer Overflow Attacks; Functional Diversification; Generative AI; NVariant Systems; Software Security","Mahindra University","5th International Conference on Emerging Techniques in Computational Intelligence, ICETCI 2025","21 August 2025 through 23 August 2025","Hyderabad","217454","","979-833159563-0","","English","Proc. Int. Conf. Emerg. Techniques Comput. Intell., ICETCI","Conference paper","Final","","Scopus","2-s2.0-105030211325"
"Yang Z.; Jia X.; Jiang X.","Yang, Zhicheng (59983379800); Jia, Xinle (57845679700); Jiang, Xiaopeng (56142463700)","59983379800; 57845679700; 56142463700","ExplainGen: a Human-Centered LLM Assistant for Combating Misinformation","2025","HumanSys 2025 - Proceedings of the 2025 3rd International Workshop on Human-Centered Sensing, Modeling, and Intelligent Systems, 2025 Cyber-Physical Systems and Internet-of-Things Week, CPS-IoT Week 2025 Workshops","","","","120","123","2","10.1145/3722570.3726897","https://www.scopus.com/pages/publications/105010216617?origin=resultslist","Southern Illinois University, Carbondale, IL, United States","Yang Z., Southern Illinois University, Carbondale, IL, United States; Jia X., Southern Illinois University, Carbondale, IL, United States; Jiang X., Southern Illinois University, Carbondale, IL, United States","While LLMs show promise in identifying misinformation, they often struggle with context-dependent cases and may even reinforce falsehoods due to biases in their training data. Instead of making final decisions on misinformation, we propose leveraging LLMs as human-centered assistants to generate context-based explanations that support human judgment in combating misinformation. This paper introduces ExplainGen, an LLM-based web app designed to provide fact-grounded explanations for assessing the credibility of statements. Due to limited transparency in LLM training data and the scarcity of high-quality fact-checking datasets, we scrape data from various domains and combine them with publicly available fact-checking instructions to fine-tune ExplainGen. Our evaluation shows that ExplainGen generates well-supported explanations that outperform the baseline models. As future work, we plan to conduct survey-based experiments to evaluate the effectiveness of ExplainGen for human decision-making, and incorporate retrieval-augmented generation (RAG) to reduce hallucinations of ExplainGen LLM. Our source code and datasets are available on our GitHub page: https://github.com/Accuracy98/ExplainGen. © 2025 Copyright held by the owner/author(s).","Human-centered Computing; Large Language Model; Misinformation","ACM SIGARCH; ACM SIGBED; ACM SIGMETRICS; ACM SIGMOBILE; ACM SIGOPS; Nokia Bell Labs","3rd International Workshop on Human-Centered Sensing, Modeling, and Intelligent Systems, HumanSys 2025, held in conjunction with the ACM Cyber-Physical Systems and Internet-of-Things Week, CPS-IoT Week 2025","6 March 2025 through 9 March 2025","Irvine","209086","","979-840071609-6","","English","HumanSys - Proc. Int. Workshop Human-Centered Sens., Model., Intell. Syst., Cyber-Phys. Syst. Internet-of-Things Week, CPS-IoT Week Workshops","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105010216617"
"Yu Z.; Zheng C.; Chen C.; Hua X.-S.; Luo X.","Yu, Zhiyin (58684877100); Zheng, Chao (60351915600); Chen, Chong (57216797936); Hua, Xian-Sheng (55441195100); Luo, Xiao (58836555000)","58684877100; 60351915600; 57216797936; 55441195100; 58836555000","scRAG: Hybrid Retrieval-Augmented Generation for LLM-based Cross-Tissue Single-Cell Annotation","2025","Proceedings of the Annual Meeting of the Association for Computational Linguistics","","","","954","970","1","10.18653/v1/2025.findings-acl.53","https://www.scopus.com/pages/publications/105028614396?origin=resultslist","South China University of Technology, China; University of Southampton, United Kingdom; Terminus Group; University of California, Los Angeles, United States","Yu Z., South China University of Technology, China; Zheng C., University of Southampton, United Kingdom; Chen C., Terminus Group; Hua X.-S., Terminus Group; Luo X., University of California, Los Angeles, United States","In recent years, large language models (LLMs) such as GPT-4 have demonstrated impressive potential in a wide range of fields, including biology, genomics and healthcare. Numerous studies have attempted to apply pre-trained LLMs to single-cell data analysis within one tissue. However, when it comes to cross-tissue cell annotation, LLMs often suffer from unsatisfactory performance due to the lack of specialized biological knowledge regarding genes and tissues. In this paper, we introduce scRAG, a novel framework that incorporates advanced LLM-based RAG techniques into cross-tissue single-cell annotation. scRAG utilizes LLMs to retrieve structured triples from knowledge graphs and unstructured similar cell information from the reference cell database, and it generates candidate cell types. The framework further optimizes predictions by retrieving marker genes from both candidate cells and similar cells to refine its results. Extensive experiments on a cross-tissue dataset demonstrate that our scRAG framework outperforms various baselines, including generalist models, domain-specific methods, and trained classifiers. The source code is available at https://github.com/YuZhiyin/scRAG. © 2025 Association for Computational Linguistics.","","Alibaba Cloud; Ant Group; Bloomberg Engineering; Citadel Securities; Cohere; et al.","63rd Annual Meeting of the Association for Computational Linguistics, ACL 2025","27 July 2025 through 1 August 2025","Vienna","216594","0736587X","979-889176256-5","","English","Proc. Annu. Meet. Assoc. Comput Linguist.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028614396"
"Nishikawa K.; Koreki G.; Kanuka H.","Nishikawa, Kazu (58646783600); Koreki, Genta (57286432200); Kanuka, Hideyuki (36141879100)","58646783600; 57286432200; 36141879100","Enhancing Source Code Comment Generation via Retrieval-Augmented Generation with Design Document Term Dictionary","2024","Proceedings - Asia-Pacific Software Engineering Conference, APSEC","","","","467","471","0","10.1109/APSEC65559.2024.00061","https://www.scopus.com/pages/publications/105004730990?origin=resultslist","Research & Development Group, Hitachi, Ltd., Yokohama, Japan","Nishikawa K., Research & Development Group, Hitachi, Ltd., Yokohama, Japan; Koreki G., Research & Development Group, Hitachi, Ltd., Yokohama, Japan; Kanuka H., Research & Development Group, Hitachi, Ltd., Yokohama, Japan","Effective software development depends on clear code comments for better understanding. We introduce a method for generating automated source-code comments using retrieval-augmented generation (RAG) with a design document term dictionary. This method aligns terms and their meanings from design documents with lines of source code, producing comments that clearly reflect the source-code's intent and functionality. Our evaluations on the open-source software iDempiere show significant improvements: context precision increased by 22% and faithfulness by 17 % compared with conventional RAG methods These results confirm our method's validity. Therefore, we plan to explore its application to different software contexts in future work.  © 2024 IEEE.","Large Language Model; Retrieval-Augmented Generation; Source-code Comment Generation","","31st Asia-Pacific Software Engineering Conference, APSEC 2024","3 December 2024 through 6 December 2024","Chongqing","208544","15301362","979-833153401-1","","English","Proc. Asia Pac. Softw. Eng. Conf. APSEC","Conference paper","Final","","Scopus","2-s2.0-105004730990"
"Bahceci A.Z.; Demirok F.; Kayaoglu M.; Topcu B.","Bahceci, Atra Zeynep (60093195300); Demirok, Faruk (60203554500); Kayaoglu, Mehmet (23397147100); Topcu, Berkay (24725420400)","60093195300; 60203554500; 23397147100; 24725420400","Implementing a RAG-Based Chatbot in Industrial Operations: A Real-World Case Study","2025","2025 Innovations in Intelligent Systems and Applications Conference, ASYU 2025","","","","","","0","10.1109/ASYU67174.2025.11208259","https://www.scopus.com/pages/publications/105022493228?origin=resultslist","Yildiz Tech, Advanced Analytics Department, Istanbul, Turkey","Bahceci A.Z., Yildiz Tech, Advanced Analytics Department, Istanbul, Turkey; Demirok F., Yildiz Tech, Advanced Analytics Department, Istanbul, Turkey; Kayaoglu M., Yildiz Tech, Advanced Analytics Department, Istanbul, Turkey; Topcu B., Yildiz Tech, Advanced Analytics Department, Istanbul, Turkey","Retrieval-Augmented Generation (RAG) has gained significant popularity due to its ability to ground generative models in specific knowledge sources. It can be especially beneficial in high-speed, safety-critical manufacturing settings, given its capacity to reduce information retrieval time, enhance response accuracy, and minimize the risk of hallucinated answers. Given the recency of RAG as a technological innovation, practical implementations are especially valuable, as they offer evidence of its adaptability to specific domains. In this paper, we investigate the real-world application of a RAG chatbot within an industrial context. Using procedural and quality-related documentation from a fast-moving consumer goods (FMCG) manufacturing plant, supported by expert-annotated reference answers, we experiment with various model configurations. Our deployed pipeline achieves faithfulness of 92.63%, answer relevancy of 91.31%, context precision of 75.20%, and context recall of 86.60%. The configuration and codebase for the proposed framework is available on Github. © 2025 IEEE.","GPT; Large Language Models (LLMs); question answering; retrieval augmented generation (RAG)","","2025 Innovations in Intelligent Systems and Applications Conference, ASYU 2025","10 September 2025 through 12 September 2025","Bursa","214381","","979-833159727-6","","English","Innov. Intell. Syst. Appl. Conf., ASYU","Conference paper","Final","","Scopus","2-s2.0-105022493228"
"Saju M.H.; Muhtadi M.; Azim A.","Saju, Md Hasan (59973157300); Muhtadi, Maher (60341183400); Azim, Akramul (36023296200)","59973157300; 60341183400; 36023296200","An Empirical Evaluation of LLM-Based Approaches for Code Vulnerability Detection: RAG, SFT, and Dual-Agent Systems","2025","Proceedings - 2025 IEEE International Conference on Collaborative Advances in Software and Computing, CASCON 2025","","","","219","224","0","10.1109/CASCON66301.2025.00045","https://www.scopus.com/pages/publications/105033216661?origin=resultslist","Department of Electrical, Computer and Software Engineering, Ontario Tech University, Canada","Saju M.H., Department of Electrical, Computer and Software Engineering, Ontario Tech University, Canada; Muhtadi M., Department of Electrical, Computer and Software Engineering, Ontario Tech University, Canada; Azim A., Department of Electrical, Computer and Software Engineering, Ontario Tech University, Canada","The rapid advancement of Large Language Models (LLMs) presents new opportunities for automated software vulnerability detection, a crucial task in securing modern codebases. This paper presents a comparative study on the effectiveness of LLM-based techniques for detecting software vulnerabilities. The study evaluates three approaches, Retrieval-Augmented Generation (RAG), Supervised Fine-Tuning (SFT), and a Dual-Agent LLM framework, against a baseline LLM model. A curated dataset was compiled from Big-Vul [1] and real-world code repositories from GitHub, focusing on five critical Common Weakness Enumeration (CWE) categories: CWE-119, CWE399, CWE-264, CWE-20, and CWE-200. Our RAG approach, which integrated external domain knowledge from the internet and the MITRE CWE database, achieved the highest overall accuracy (0.86) and F1 score (0.85), highlighting the value of contextual augmentation. Our SFT approach, implemented using parameter-efficient QLoRA adapters, also demonstrated strong performance. Our Dual-Agent system, an architecture in which a secondary agent audits and refines the output of the first, showed promise in improving reasoning transparency and error mitigation, with reduced resource overhead. These results emphasize that incorporating a domain expertise mechanism significantly strengthens the practical applicability of LLMs in real-world vulnerability detection tasks. © 2025 IEEE.","DualAgent; LLM; RAG; SFT; Vulnerability Detection","IEEE Computer Society; IEEE Computer Society Technical Community on Software Engineering (TCSE)","35th IEEE International Conference on Collaborative Advances in Software and Computing, CASCON 2025","10 November 2025 through 13 November 2025","Toronto","219523","","979-833159948-5","","English","Proc. - IEEE Int. Conf. Collab. Adv. Softw. Comput., CASCON","Conference paper","Final","","Scopus","2-s2.0-105033216661"
"Jabarulla M.Y.; Oeltze-Jafra S.; Beerbaum P.; Uden T.","Jabarulla, Mohamed Yaseen (57194280907); Oeltze-Jafra, Steffen (56414900700); Beerbaum, Philipp (6603092199); Uden, Theodor (56200357600)","57194280907; 56414900700; 6603092199; 56200357600","MedBlock-Bot: A Blockchain-Enabled RAG System for Providing Feedback to Large Language Models Accessing Pediatric Clinical Guidelines","2025","Proceedings - IEEE Symposium on Computer-Based Medical Systems","","","","845","850","2","10.1109/CBMS65348.2025.00172","https://www.scopus.com/pages/publications/105010641174?origin=resultslist","Peter L. Reichertz Institute for Medical Informatics of TU Braunschweig, Hannover Medical School, United States; Hannover Medical School, Department of Pediatric Cardiology and Pediatric Intensive Care Medicine, Hannover, Germany","Jabarulla M.Y., Peter L. Reichertz Institute for Medical Informatics of TU Braunschweig, Hannover Medical School, United States; Oeltze-Jafra S., Peter L. Reichertz Institute for Medical Informatics of TU Braunschweig, Hannover Medical School, United States; Beerbaum P., Hannover Medical School, Department of Pediatric Cardiology and Pediatric Intensive Care Medicine, Hannover, Germany; Uden T., Hannover Medical School, Department of Pediatric Cardiology and Pediatric Intensive Care Medicine, Hannover, Germany","Accessing reliable clinical knowledge quickly is an everyday challenge for clinicians. Large Language Models (LLMs) can assist healthcare professionals by providing this knowledge, but their responses often deviate from expert consensus or are not up to date necessitating reliable validation and possible correction. To address this, we introduce MedBlock-Bot, an interactive Streamlit-based system integrating a blockchain-enabled Retrieval-Augmented Generation (RAG) framework for expert-driven assessment and immutable feedback storage within a permissioned consortium network. Unlike traditional feedback mechanisms that may be altered or lost, MedBlock-Bot employs smart contracts to securely store and verify any feedback, ensuring transparency and auditability. We evaluated the system using three opensource LLMs-BioMistral, HippoMistral, and LLaMa 3.1-on clinical guideline interpretation for neonates with hypoplastic left heart syndrome. Human experts assessed model responses based on accuracy and relevance, revealing variations in adherence to the guideline knowledge. Additionally, deploying the blockchain component in a local permissioned environment (Ganache) ensured efficient transaction processing and tamperproof feedback retrieval without gas cost concerns. Our results demonstrate the integration of blockchain for LLM feedback review enhancing trust, accountability, and structured knowledge retention. Clinicians can access past expert assessments for validation, while developers can leverage this feedback for potential model refinement. Taking the long-term impact into account this approach targets towards a reliable and dynamic representation of clinical knowledge and consensus. Open-Source Code: https://github.com/yaseen28/MedBlock-Bot © 2025 IEEE.","Blockchain; Clinical care; Medical language models; Pediatric cardiology; RAG","IEEE; IEEE Computer Society; Medical Data Analytics Laboratory (MEDAL); Universidad Politecnica de Madrid; Universita Campus Bio-Medico di Roma","38th IEEE International Symposium on Computer-Based Medical Systems, CBMS 2025","18 June 2025 through 20 June 2025","Madrid","210077","10637125","979-833152610-8","","English","Proc. IEEE Symp. Comput.-Based Med. Syst.","Conference paper","Final","","Scopus","2-s2.0-105010641174"
